"じょうひん",上品,"Elegant"
"おおさかべん",大阪弁,"Osaka Dialect"
"かんさいべん",関西弁,"Kansai Dialect"
"どようび",土曜日,"Saturday"
"にちようび",日曜日,"Sunday"
"げつようび",月曜日,"Monday"
"もくようび",木曜日,"Thursday"
"すいようび",水曜日,"Wednesday"
"りゅうがくせい",留学生,"Exchange Student"
"おわらい",お笑い,"Comedy"
"てにもつ",手荷物,"Hand Baggage"
"しょうめいしょ",証明書,"Certificate"
"わらい",笑い,"A Laugh"
"しゃくよう",借用,"Borrowing"
"かりる",借りる,"To Borrow"
"しゃっきん",借金,"Debt"
"しゃくや",借家,"Renting A House"
"そういん",僧院,"Temple"
"ぶっそう",仏僧,"Buddhist Priest"
"きりとる",切り取る,"To Cut Off"
"とりだす",取り出す,"To Pick Out"
"とりわけ",取り分け,"Especially"
"とりきめ",取り決め,"Arrangement"
"もんく",文句,"Complaint"
"きんく",禁句,"Taboo Word"
"かわいい",可愛い,"Cute"
"きょか",許可,"Permission"
"かぶん",可分,"Divisible"
"ふかけつ",不可欠,"Indispensable"
"こくはく",告白,"Confession"
"つげる",告げる,"To Announce"
"こうこく",広告,"Advertisement"
"よこく",予告,"Advance Notice"
"こうこく",公告,"Public Notice"
"ほうこく",報告,"Report"
"きつえん",喫煙,"Smoking"
"きっさてん",喫茶店,"Tea House"
"じょうほう",情報,"Information"
"よほう",予報,"Forecast"
"ほうじる",報じる,"To Report On"
"ほうどう",報道,"News Report"
"おまもり",お守り,"Amulet"
"るすばん",留守番,"Caretaker"
"せいざ",正座,"Seiza"
"ざぜん",座禅,"Zen Meditation"
"ざせき",座席,"Seat"
"ぎんざ",銀座,"Ginza"
"えきべん",駅弁,"Train Station Bento"
"ゆみ",弓,"Bow"
"きゅうどう",弓道,"Archery"
"わすれる",忘れる,"To Forget"
"ぼうねんかい",忘年会,"Year End Party"
"したがき",下書き,"Rough Draft"
"かきいれる",書き入れる,"To Write In"
"かきかた",書き方,"Penmanship"
"かきなおす",書き直す,"To Rewrite"
"なんまい",何枚,"How Many Flat Objects"
"まいすう",枚数,"Number Of Sheets"
"ごまい",五枚,"Five Flat Objects"
"あらう",洗う,"To Wash"
"せんしゃ",洗車,"Car Wash"
"せんれん",洗練,"Refinement"
"やく",焼く,"To Bake"
"ひやけ",日焼け,"Sunburn"
"やきとり",焼き鳥,"Roast Chicken"
"やきにく",焼き肉,"Roast Meat"
"ゆうやけ",夕焼け,"Sunset"
"けむり",煙,"Smoke"
"こくえん",黒煙,"Black Smoke"
"いのる",祈る,"To Pray"
"きねん",祈念,"Prayer"
"きがん",祈願,"Prayer"
"きんえん",禁煙,"No Smoking"
"きんし",禁止,"Forbidden"
"ぜんでら",禅寺,"Zen Temple"
"ぜんそう",禅僧,"Zen Priest"
"じんしゅ",人種,"Race Of People"
"ひとしい",等しい,"Equal"
"とうごう",等号,"Equal Sign"
"いっとう",一等,"First Class"
"ふとう",不等,"Inequality"
"くんれん",訓練,"Training"
"むね",胸,"Chest"
"のう",脳,"Brain"
"のうし",脳死,"Brain Death"
"のうみそ",脳みそ,"Brains"
"せんのう",洗脳,"Brainwashing"
"らくがき",落書き,"Graffiti"
"はがき",葉書,"Postcard"
"くんよみ",訓読み,"Kun'yomi"
"きょうくん",教訓,"Lesson"
"ゆるす",許す,"To Permit"
"ともだち",友達,"Friend"
"はいたつする",配達する,"To Deliver"
"たつじん",達人,"Master"
"でんたつ",伝達,"Transmission"
"しずか",静か,"Quiet"
"せいし",静止,"Still"
"へいせい",平静,"Calm"
"じんるい",人類,"Mankind"
"ぶんるい",分類,"Classification"
"しゅるい",種類,"Kind"
"しんるい",親類,"Relatives"
"きしゃ",汽車,"Steam Train"
"きせん",汽船,"Steam Ship"
"しょるい",書類,"Document"
"かようび",火曜日,"Tuesday"
"きんようび",金曜日,"Friday"
"かのう",可能,"Possible"
"だいじょうぶ",大丈夫,"Safe"
"まい",〜枚,"Flat Object"
"すわる",座る,"To Sit"
"たち",〜達,"Pluralizing Suffix"
"けいこく",警告,"Warning"
"かたまる",固まる,"To Harden"
"たっする",達する,"To Attain"
"とおく",遠く,"Far Away"
"こもりうた",子守歌,"Lullaby"
"こうとう",高等,"High Class"
"じしょけい",辞書形,"Dictionary Form"
"たいとう",対等,"Equality"
"さいわい",幸い,"Happiness"
"きんじる",禁じる,"To Prohibit"
"しなもの",品物,"Goods"
"のど",喉,"Throat"
"こうとう",喉頭,"Larynx"
"たたく",叩く,"To Strike"
"こうとう",叩頭,"Kowtow"
"あめ",飴,"Candy"
"あめざいく",飴細工,"Sugar Sculpture"
